pos,item,qty,approx_price_usd,source,notes
1,Langevin transducer 40 kHz 50-60 W,4,40,AliExpress,resonance spread ±1 kHz — buy 4 from ONE batch; the sweep picks the best pair (docs/img/sim2)
2,AD9833 DDS module,2,8,AliExpress,SPI with the Raspberry Pi; the second one is a spare
3,IR2110 + 2x IRF540 (or an EGS002 module),1,10,AliExpress/eBay,driver half-bridge; EGS002 also covers the shaper with dead time
4,Ferrite toroid + magnet wire,1,3,local,matching transformer
5,ADS1115 ADC,2,4,AliExpress,I2C; the Pi has no ADC of its own! second one — spare / TX current channel (docs/03)
6,Schottky bridge (4x SS14) + supercapacitor 1F 5.5V,1,3,AliExpress,receiver side
7,TVS: SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — ADC DC input (sch2); 15CA bidirectional — across the node's piezo (sch4)
8,GY-LTC3588 module,1,7,AliExpress,harvester for stage 4 (optional at stage 1)
9,Steel plate 3-5 mm ~150x150 mm,2,5,metal yard,second one — spare/another thickness
10,Thick consistent grease + clamps,1,5,local,acoustic contact without epoxy
11,"Support passives (sch1/sch2): UF4007, 74HC14, 1N4148 x4, 10 Ohm x2, 10 kOhm, 47 kOhm, 100 nF x6, 10 uF, 1 uF film, 470 uF",1,4,AliExpress/local,without these the driver and receiver cannot be built from discrete parts; not needed with EGS002 (except the receiver part)
12,2N7002 x3 + 0.1 Ohm 1 W shunt,1,1,AliExpress,stage 4: load modulation (sch4) and TX current channel (docs/03)
