pos,品目,数量,約価格(USD),出典,備考
1,ランジュベン変圧器 40 kHz 50-60 W,4,40,AliExpress,共振スプレッド ±1 kHz — 1 バッチから 4 つ購入; スイープでベストペアを選択 (docs/img/sim2)
2,AD9833 DDS モジュール,2,8,AliExpress,Raspberry Pi との SPI; 2 番目のものはスペア
3,IR2110 + 2x IRF540 (または EGS002 モジュール),1,10,AliExpress/eBay,ドライバ ハーフブリッジ; EGS002 もデッドタイムを含むシェイパーをカバー
4,フェライトトロイド + 磁石ワイヤ,1,3,地元,マッチングトランス
5,ADS1115 ADC,2,4,AliExpress,I2C; Raspberry Pi には ADC がない! 2 番目のもの — スペア / TX 電流チャンネル (docs/03)
6,ショットキブリッジ (4x SS14) + スーパーキャパシタ 1F 5.5V,1,3,AliExpress,受信側
7,TVS: SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — ADC DC 入力 (sch2); 15CA 二方向 — ノードの圧電素子 (sch4) 跨ぐ
8,GY-LTC3588 モジュール,1,7,AliExpress,ステージ 4 のハーベスター (ステージ 1 ではオプション)
9,鋼板 3-5 mm ~150x150 mm,2,5,金属ヤード,2 番目のもの — スペア / 別の厚さ
10,厚い一貫したグリース + クランプ,1,5,地元,エポキシなしの音響接触
11,"サポートパッシブ (sch1/sch2): UF4007, 74HC14, 1N4148 x4, 10 Ω x2, 10 kΩ, 47 kΩ, 100 nF x6, 10 μF, 1 μF フィルム, 470 μF",1,4,AliExpress/地元,これらなしではドライバと受信機を個別の部品から構築できない; EGS002 を使用する場合 (受信機部分を除く) には不要
12,2N7002 x3 + 0.1 Ω 1 W シャント,1,1,AliExpress,ステージ 4: ロードモジュレーション (sch4) と TX 電流チャンネル (docs/03)
