pos,item,qty,approx_price_usd,source,notes
1,Ланжевенівський перетворювач 40 кГц 50-60 Вт,4,40,AliExpress,розкид резонансу ±1 кГц — купіть 4 з ОДНІЄЇ партії; розвёртка обирає найкращу пару (docs/img/sim2)
2,Модуль DDS AD9833,2,8,AliExpress,SPI з Raspberry Pi; другий — запасний
3,IR2110 + 2x IRF540 (або модуль EGS002),1,10,AliExpress/eBay,драйвер півмістка; EGS002 також покриває формувач із мертвим часом
4,Феритовий тороїд + обмотувальний дріт,1,3,локально,узгоджувальний трансформатор
5,АЦП ADS1115,2,4,AliExpress,I2C; у Pi немає власного АЦП! другий — запасний / канал струму TX (docs/03)
6,Діодний міст Шотткі (4x SS14) + суперконденсатор 1Ф 5.5В,1,3,AliExpress,приймальна сторона
7,TVS: SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — вхід АЦП постійного струму (sch2); 15CA двонаправлений — паралельно п'єзо вузла (sch4)
8,Модуль GY-LTC3588,1,7,AliExpress,збирач для стадії 4 (опційно на стадії 1)
9,Стальна пластина 3-5 мм ~150x150 мм,2,5,металобаза,друга — запасна/інша товщина
10,Густе однорідне мастило + струбцини,1,5,локально,акустичний контакт без епоксиду
11,"Допоміжні компоненти (sch1/sch2): UF4007, 74HC14, 1N4148 x4, 10 Ом x2, 10 кОм, 47 кОм, 100 нФ x6, 10 мкФ, 1 мкФ плівковий, 470 мкФ",1,4,AliExpress/локально,без цих компонентів драйвер і приймач неможливо зібрати з дискретних елементів; не потрібні з EGS002 (окрім приймальної частини)
12,2N7002 x3 + шунт 0.1 Ом 1 Вт,1,1,AliExpress,стадія 4: модуляція навантаження (sch4) і канал струму TX (docs/03)
