pos,项目,数量,大约价格（美元），来源,备注
1,40 kHz 50-60 W 朗兹文转换器,4,40,AliExpress,谐振频率偏差 ±1 kHz — 从一个批次购买 4 个；扫描选择最好的成对（docs/img/sim2）
2,AD9833 DDS 模块,2,8,AliExpress,使用 Raspberry Pi 的 SPI；第二个是备用
3,IR2110 + 2x IRF540（或 EGS002 模块），1,10,AliExpress/eBay,驱动半桥；EGS002 也包括带死区的波形发生器
4,铁氧体环形磁铁 + 磁线,1,3,本地,匹配变压器
5,ADS1115 ADC,2,4,AliExpress,I2C；树莓派没有自己的 ADC！第二个 — 备用 / 发送电流通道（docs/03）
6,舒克基桥（4x SS14）+ 1F 5.5V 超级电容,1,3,AliExpress,接收器侧
7,TVS：SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — ADC 直流输入（sch2）；15CA 双向 — 跨节点的压电（sch4）
8,GY-LTC3588 模块,1,7,AliExpress,用于第 4 阶段的能量收集（在第 1 阶段可选）
9,3-5 mm ~150x150 mm 钢板,2,5,金属场,第二个 — 备用/其他厚度
10,厚一致性润滑脂 + 夹子,1,5,本地,无需环氧树脂的声学接触
11,"支持被动元件（sch1/sch2）：UF4007, 74HC14, 1N4148 x4, 10 欧姆 x2, 10 k欧姆, 47 k欧姆, 100 nF x6, 10 uF, 1 uF 薄膜, 470 uF",1,4,AliExpress/本地,没有这些，驱动器和接收器无法从离散元件构建；使用 EGS002 时不需要（除了接收器部分）
12,2N7002 x3 + 0.1 欧姆 1 W 电流分流,1,1,AliExpress,第 4 阶段：负载调制（sch4）和发送电流通道（docs/03）
